location,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure
unit,°C,mm,%,km/h,%,hPa
level,2 m elevation corrected,sfc,2 m,sfc,sfc,MSL
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Gust,Basel Cloud Cover Total,Basel Mean Sea Level Pressure [MSL]
20240101T0000,6.5302453,0.0,81.2849,34.56,73.0,1012.5
20240101T0100,6.2402453,0.0,83.22755,35.28,73.0,1012.6
20240101T0200,6.210245,0.0,84.7112,41.039997,84.0,1013.0
20240101T0300,6.170245,0.1,84.94641,40.32,74.0,1013.2
20240101T0400,6.1602454,0.0,83.80913,36.719997,50.0,1013.3
20240101T0500,6.130245,0.0,84.10285,35.64,53.0,1013.7
20240101T0600,6.020245,0.0,84.32747,34.56,41.0,1014.1
20240101T0700,6.040245,0.0,84.449776,37.079998,39.0,1014.7
20240101T0800,6.290245,0.0,82.822174,36.36,44.0,1015.0
20240101T0900,6.8402452,0.0,81.61914,34.56,42.0,1015.2
20240101T1000,7.4302454,0.0,78.20641,36.0,52.0,1015.6
20240101T1100,8.080246,0.0,75.3871,36.719997,68.0,1015.6
20240101T1200,8.210245,0.0,75.784424,44.639996,53.0,1015.6
20240101T1300,8.190246,0.0,76.4252,39.96,41.0,1015.1
20240101T1400,8.290245,0.0,75.05355,34.2,27.0,1015.1
20240101T1500,8.080246,0.0,75.12102,29.16,24.0,1015.3
20240101T1600,7.0102453,0.0,79.64705,24.48,36.0,1015.8
20240101T1700,5.7202454,0.0,85.010635,21.96,40.0,1016.3
20240101T1800,5.2602453,0.0,86.418076,21.599998,30.000002,1016.2
20240101T1900,5.420245,0.0,85.39759,20.880001,30.000002,1016.3
20240101T2000,5.110245,0.0,86.277504,22.319998,30.000002,1016.2
20240101T2100,5.3102455,0.0,84.65669,23.4,30.000002,1015.1
20240101T2200,5.6002455,0.0,84.45306,24.48,56.0,1014.5
20240101T2300,5.8302455,0.0,82.46372,25.56,96.0,1014.8
20240102T0000,6.1602454,0.0,80.252014,27.359999,99.0,1013.8
20240102T0100,6.6402454,0.0,77.46423,31.319998,99.0,1012.4
20240102T0200,7.3502455,0.1,72.56643,36.36,100.0,1011.8
20240102T0300,7.5702453,0.4,75.34709,41.760002,100.0,1011.1
20240102T0400,7.7202454,0.6,79.81503,46.8,100.0,1010.1
